layout_id,shape_mode,n_movable,n_fixed,fitness,baseline_time,improvement_percent,move_r1,proc_r1,total_r1,move_r2,proc_r2,total_r2,total_system_est,balance_teorico,symmetry_index,idle_time_estimated,avg_dist_r1,avg_dist_r2,max_dist_r1,max_dist_r2,std_dist_r1,std_dist_r2,pct_closer_r1,pct_closer_r2,geom_balance,centroid_x,centroid_y,centroid_dist_r1,centroid_dist_r2,var_x,var_y,radial_dispersion,total_time_real,total_wait_real,total_r1_real,total_r2_real,steps_r1,steps_r2,balance_real,error_dinamico,generated_at
894278b3,0,6,3,0.4018933566456013,120.0,59.81066433543987,2.1382497140157657,31.0,33.138249714015764,2.0685341294498127,13.0,15.068534129449812,48.20678384346557,18.06971558456595,0.3748376088154095,18.06971558456595,0.559827041599126,0.4334759431045431,0.9139784133623386,0.8136991151525236,0.2646814565451298,0.18310332356035863,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.47451821246445064,1.072303972359326,0.42626580059428165,0.14024322857459237,0.04524369836874718,0.15651635881944992,0.41968154682265657,152.517,44.0,83.856,68.661,32,32,15.194999999999993,104.31021615653442,2026-03-02T22:45:23.522659
98796c66,0,6,3,0.3832376383646199,120.0,61.676236163538015,1.0990509015301555,31.0,32.099050901530155,0.8894657022242298,13.0,13.88946570222423,45.988516603754384,18.209585199305927,0.39595939473767117,18.209585199305927,0.5022739722887232,0.4764865794623307,0.930967804214808,0.9306821627486072,0.24328555627981227,0.2839550073695969,0.4444444444444444,0.5555555555555556,0.11111111111111116,0.5643448887680037,0.928451907740992,0.2802669475076296,0.2734089672087462,0.009271021040262952,0.22364642222756345,0.4274032479303051,144.565,44.0,68.12400000000001,76.441,32,32,8.316999999999993,98.5764833962456,2026-03-02T23:13:18.079368
feb69058,0,6,3,1.033301737457729,120.0,-3.330173745772891,0.0,0.0,0.0,0.0,0.0,0.0,46.192955321099326,17.484747386197398,0.3785154525112399,0.0,0.3675694855078074,0.5215883721831951,0.803745139954202,0.8136991151525236,0.16636782478131382,0.2087414920713711,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.7100700133839287,0.7860528539000389,0.22369955008339634,0.4504257424009769,0.01855065298618201,0.09419343810524423,0.2838969512837258,123.847,44.0,62.248999999999995,61.598,32,32,0.6509999999999962,77.65404467890068,2026-03-03T00:09:35.236802
13ae0d27,0,6,3,0.9429233860096925,120.0,5.70766139903075,0.0,0.0,0.0,0.0,0.0,0.0,45.90974797155373,17.777121880663383,0.3872188950302737,0.0,0.39994461281653787,0.5928691715309005,0.803745139954202,0.9030567850346131,0.15796742016850418,0.2219030218421231,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.7575203889722746,0.7287950850011464,0.2384173669713925,0.5221764523341804,0.011387129318988503,0.11667942896310302,0.2913727812737115,92.827,31.0,62.900999999999996,29.926,32,11,32.974999999999994,46.91725202844627,2026-03-03T00:14:33.389912
0d1a4cae,0,6,3,1.1389478469373662,120.0,-13.894784693736618,0.0,0.0,0.0,0.0,0.0,0.0,46.846308701608955,17.79518266643671,0.37986307053100915,0.0,0.3645289878090749,0.5368809622222641,0.803745139954202,0.8245828389760892,0.1822772947565546,0.22295035059266533,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5230519973691917,0.7687803351916183,0.11915549832863333,0.43132315503710766,0.035672679832926456,0.11623568252200517,0.35264560813636403,131.074,44.0,70.526,60.548,32,32,9.977999999999994,84.22769129839105,2026-03-03T00:20:46.342133
7eb96e02,0,6,3,0.8564307790353513,120.0,14.356922096464874,0.0,0.0,0.0,0.0,0.0,0.0,46.49924587104349,18.57937667366766,0.39956296764884974,0.0,0.4976301885053598,0.37957647842041586,0.803745139954202,0.8136991151525236,0.20050201204086326,0.16776508453702751,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6762337382331505,1.0301031225314126,0.40637146955046666,0.2225406400639039,0.031064495629135738,0.0916345944505727,0.313128169859261,129.386,44.0,67.592,61.794000000000004,32,32,5.797999999999995,82.88675412895651,2026-03-03T00:51:58.235500
5695b125,1,6,3,0.8550750553499963,120.0,14.492494465000371,0.0,0.0,0.0,0.0,0.0,0.0,47.01759329954505,18.199868292266935,0.38708634396314456,0.0,0.5066224347455208,0.5174284325968908,0.9288420241515394,0.8168900097356628,0.25034298382068876,0.21317237567555145,0.4444444444444444,0.5555555555555556,0.11111111111111116,0.7004937043639488,0.930602960295356,0.3270472535161226,0.3174848810692366,0.02159286582976106,0.19078512907352513,0.41064733131643794,122.138,44.0,66.52199999999999,55.616,32,32,10.905999999999992,75.12040670045496,2026-03-03T00:58:08.684620
4b020f8b,0,6,3,0.9706416874857055,120.0,2.935831251429455,,,,,,,116.47700249828465,0.0,0.0,0.0,0.44253680952304236,0.4257105182377541,0.803745139954202,0.8749287463301603,0.20148375052876155,0.2741014547533629,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5105634116258181,0.906884978794366,0.25781991047954417,0.293934736915999,0.012184566733019838,0.1577788565372697,0.37342095484475685,158.484,44.0,72.00200000000001,86.482,32,32,14.47999999999999,42.00699750171536,2026-03-03T03:16:44.855230
5c86f6f5,0,6,3,0.9474990581055462,120.0,5.250094189445376,,,,,,,113.69988697266555,0.0,0.0,0.0,0.44981493130467093,0.3816428261020918,0.803745139954202,0.8136991151525236,0.21927447635193878,0.22429083092351335,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6472860282003041,0.9745064953204464,0.34420967124001606,0.2530279686569626,0.007045338921446481,0.12488913170743635,0.31774711542069434,143.553,44.0,68.30199999999999,75.251,32,32,6.949000000000012,29.853113027334444,2026-03-03T03:18:18.312184
f6189ac5,3,6,3,0.9558466900105033,120.0,4.415330998949674,,,,,,,114.41066738906028,0.0,0.0,0.0,0.43199897585504715,0.36543844331266084,0.803745139954202,0.8136991151525236,0.22395324209868608,0.18520378841061838,0.4444444444444444,0.5555555555555556,0.11111111111111116,0.5895145105992434,0.9876658824489967,0.342445473891729,0.21985547956563312,0.017517461840039,0.10199180535735247,0.3126791644928082,150.871,44.0,78.036,72.835,32,32,5.201000000000008,36.46033261093973,2026-03-03T03:20:01.898936
